dog,birthday,date_box_test,date_test,age,castration,breed,sex,dias_total,box_errors,condition,condition_order,session,trial_2,trial,delay,latency_partner,latency_subject,dog_press,partner_press,press_first,time_between_press,Success,errortype,dog_see,prop_gaze_before15,prop_gaze_after15
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,0,1,1,3,NA,2.2,y,n,dog,NA,n,earlypress,NA,0,0.577777778
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,0,2,2,3,3.4,NA,n,y,owner,NA,n,nopress,0,0.133333333,0
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,0,3,3,3,NA,0.6,y,n,dog,NA,n,earlypress,NA,0.56,0
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,0,4,4,3,3.2,3,y,y,dog,0.2,y,NA,NA,0.422222222,0.311111111
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,0,5,5,3,4.2,4,y,y,dog,0.2,y,NA,NA,0.333333333,0.377777778
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,0,6,6,3,4,5,y,y,owner,1,y,NA,NA,0.711111111,0.555555556
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,0,7,7,3,3.6,3.2,y,y,dog,0.4,y,NA,NA,1,0.333333333
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,0,8,8,3,3.8,3.6,y,y,dog,0.2,y,NA,NA,1,0.222222222
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,0,9,9,3,3.8,4.6,y,y,owner,0.8,y,NA,NA,1,0.488888889
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,0,10,10,3,3.4,3.4,y,y,NA,0,y,NA,NA,1,0.466666667
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,1,11,1,3,3.4,3.2,y,y,dog,0.2,y,NA,NA,0.266666667,0.377777778
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,1,12,2,9,8.8,9,y,y,owner,0.2,y,NA,NA,0.911111111,0
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,1,13,3,6,5.8,5.6,y,y,dog,0.2,y,NA,NA,1,0.511111111
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,1,14,4,3,4,NA,n,y,owner,NA,n,nopress,1,0.755555556,1
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,1,15,5,6,NA,0.4,y,n,dog,NA,n,earlypress,NA,0,0
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,1,16,6,6,6.4,6.4,y,y,NA,0,y,NA,NA,0.355555556,0.244444444
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,1,17,7,6,8,8.8,y,y,owner,0.8,y,NA,NA,1,0.177777778
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,1,18,8,9,9.2,9.2,y,y,NA,0,y,NA,NA,0.533333333,0.311111111
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,1,19,9,3,4,5.2,y,y,owner,1.2,y,NA,NA,1,0.2
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,1,20,10,9,8.6,8.2,y,y,dog,0.4,y,NA,NA,1,0.244444444
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,1,21,11,3,4,NA,n,y,owner,NA,n,nopress,1,1,1
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,1,22,12,9,10.2,10.2,y,y,NA,0,y,NA,NA,0.511111111,0.2
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,1,23,13,9,10,NA,n,y,owner,NA,n,nopress,1,0.488888889,0.755555556
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,1,24,14,6,NA,0.6,y,n,dog,NA,n,earlypress,NA,0,0
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,1,25,15,3,NA,2.6,y,n,dog,NA,n,earlypress,NA,1,0.6
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,1,26,16,6,7.4,7.6,y,y,owner,0.2,y,NA,NA,0.333333333,0.311111111
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,1,27,17,6,6.8,8,y,y,owner,1.2,y,NA,NA,1,0
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,1,28,18,3,4.2,NA,n,y,owner,NA,n,nopress,1,1,0.688888889
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,1,29,19,9,9.2,9.4,y,y,owner,0.2,y,NA,NA,0.488888889,0.288888889
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,1,30,20,9,9.4,9.6,y,y,owner,0.2,y,NA,NA,1,0.155555556
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,1,31,21,3,4.2,4.2,y,y,NA,0,y,NA,NA,1,0.088888889
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,2,32,22,9,9.2,9,y,y,dog,0.2,y,NA,NA,1,0.111111111
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,2,33,23,6,7.6,NA,n,y,owner,NA,n,nopress,1,1,0.288888889
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,2,34,24,6,6.6,6.4,y,y,dog,0.2,y,NA,NA,0.355555556,0.288888889
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,2,35,25,6,7,8.4,y,y,owner,1.4,y,NA,1,1,0.422222222
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,2,36,26,3,4.2,NA,n,y,owner,NA,n,nopress,1,0.866666667,1
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,2,37,27,9,9.2,9,y,y,dog,0.2,y,NA,NA,0.355555556,0.244444444
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,2,38,28,3,3.2,3,y,y,dog,0.2,y,NA,NA,0.466666667,0.288888889
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,2,39,29,9,9.2,NA,n,y,owner,NA,n,nopress,1,1,1
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,2,40,30,9,9.2,9,y,y,dog,0.2,y,NA,NA,1,0.4
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,2,41,31,6,6.2,6.2,y,y,NA,0,y,NA,NA,1,0.355555556
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,2,42,32,3,4.6,5.8,y,y,owner,1.2,y,NA,NA,1,0
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,2,43,33,3,3.2,3.2,y,y,NA,0,y,NA,NA,1,0.222222222
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,2,44,34,9,9.2,9.2,y,y,NA,0,y,NA,NA,1,0.2
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,2,45,35,3,3.4,3.6,y,y,owner,0.2,y,NA,NA,0.577777778,0.533333333
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,2,46,36,6,5.6,7,y,y,owner,1.4,y,NA,NA,0.777777778,0
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,2,47,37,6,6.4,NA,n,y,owner,NA,n,nopress,1,1,0.8
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,2,48,38,9,8.8,8.8,y,y,NA,0,y,NA,NA,1,0.111111111
akela,08/07/2017,11/10/2019,30/11/2019,2.25,intact,australiansepherd,male,0.58,4,buzzerdelay,2,2,49,39,6,6,7.2,y,y,owner,1.2,y,NA,NA,1,0.133333333
